Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,2.47102752e-08,-2.45291047e-08
-178.0,0.0,0.0,2.39548542e-08,2.33298651e-08
-176.0,0.0,0.0,-1.55314474e-08,1.49043499e-07
-174.0,0.0,0.0,-1.19420703e-09,-2.91465404e-08
-172.0,0.0,0.0,-7.37957950e-08,6.80020338e-08
-170.0,0.0,0.0,1.68949351e-08,3.85769777e-08
-168.0,0.0,0.0,1.10869851e-07,4.26622558e-09
-166.0,0.0,0.0,-4.32575988e-08,-6.94473631e-08
-164.0,0.0,0.0,7.69549999e-09,-2.18142241e-07
-162.0,0.0,0.0,1.57819950e-07,-1.58349860e-07
-160.0,0.0,0.0,-5.15291942e-08,-2.98169233e-07
-158.0,0.0,0.0,-9.08726550e-09,-2.93110218e-07
-156.0,0.0,0.0,-1.65518825e-08,-1.15195147e-07
-154.0,0.0,0.0,1.25338740e-07,-2.80248950e-07
-152.0,0.0,0.0,-5.81255928e-08,-3.24633868e-07
-150.0,0.0,0.0,5.07577454e-08,-4.15190027e-07
-148.0,0.0,0.0,-3.99956479e-08,-2.25092317e-07
-146.0,0.0,0.0,-2.32532704e-08,-5.31503737e-07
-144.0,0.0,0.0,4.84969109e-08,-3.98053966e-07
-142.0,0.0,0.0,-4.68301598e-08,-4.95587382e-07
-140.0,0.0,0.0,-8.55000548e-08,-5.75942818e-07
-138.0,0.0,0.0,4.43741670e-08,-6.06930796e-07
-136.0,0.0,0.0,9.50510625e-08,-6.35975306e-07
-134.0,0.0,0.0,2.50046876e-08,-6.01909199e-07
-132.0,0.0,0.0,-5.03011739e-09,-6.37240336e-07
-130.0,0.0,0.0,-7.42722101e-08,-6.41191735e-07
-128.0,0.0,0.0,2.37147980e-08,-5.26519863e-07
-126.0,0.0,0.0,-1.27594740e-08,-4.95355395e-07
-124.0,0.0,0.0,4.12436071e-08,-5.66434685e-07
-122.0,0.0,0.0,-2.68876149e-08,-4.20890711e-07
-120.0,0.0,0.0,1.12233820e-08,-4.15969009e-07
-118.0,0.0,0.0,4.06150587e-08,-5.79805383e-07
-116.0,0.0,0.0,-1.74722391e-09,-4.22269063e-07
-114.0,0.0,0.0,6.34123798e-08,-3.89824350e-07
-112.0,0.0,0.0,-1.84284997e-08,-3.27569268e-07
-110.0,0.0,0.0,3.68979118e-08,-4.77004870e-07
-108.0,0.0,0.0,8.76500189e-09,-4.22569195e-07
-106.0,0.0,0.0,7.99041452e-09,-3.21138385e-07
-104.0,0.0,0.0,-8.31195099e-08,-3.82053336e-07
-102.0,0.0,0.0,1.16825758e-07,-5.87116133e-07
-100.0,0.0,0.0,-1.00191755e-07,-2.92661244e-07
-98.0,0.0,0.0,7.55521684e-08,-1.50391489e-07
-96.0,0.0,0.0,-3.39445757e-09,-3.68828914e-07
-94.0,0.0,0.0,-1.09711819e-07,-1.48122894e-07
-92.0,0.0,0.0,1.78249847e-08,-4.19012428e-07
-90.0,0.0,0.0,1.18696611e-07,-3.69884548e-07
-88.0,0.0,0.0,-9.79103586e-08,-5.20081619e-07
-86.0,0.0,0.0,2.32014587e-08,-6.40733416e-07
-84.0,0.0,0.0,-1.12619940e-08,-7.33620303e-07
-82.0,0.0,0.0,-5.17935400e-08,-8.76674304e-07
-80.0,0.0,0.0,1.18933186e-07,-7.17901064e-07
-78.0,0.0,0.0,8.83444825e-08,-9.78179310e-07
-76.0,0.0,0.0,1.77849352e-08,-9.36856119e-07
-74.0,0.0,0.0,-5.73330465e-08,-7.02432840e-07
-72.0,0.0,0.0,4.12525055e-08,-1.24068744e-06
-70.0,0.0,0.0,3.94035136e-08,-9.50838735e-07
-68.0,0.0,0.0,5.23984472e-08,-1.02588143e-06
-66.0,0.0,0.0,3.69512706e-08,-1.02181488e-06
-64.0,0.0,0.0,7.88234356e-08,-1.04752933e-06
-62.0,0.0,0.0,-1.19943838e-07,-9.90992519e-07
-60.0,0.0,0.0,5.76548181e-08,-1.05160859e-06
-58.0,0.0,0.0,1.22774396e-08,-1.15473949e-06
-56.0,0.0,0.0,4.12551404e-08,-1.38503092e-06
-54.0,0.0,0.0,1.07351105e-08,-1.29217021e-06
-52.0,0.0,0.0,-4.42815692e-08,-1.30757342e-06
-50.0,0.0,0.0,8.89758104e-09,-1.40707058e-06
-48.0,0.0,0.0,-5.60931092e-08,-1.15370865e-06
-46.0,0.0,0.0,6.44315896e-08,-1.28197641e-06
-44.0,0.0,0.0,3.03559424e-08,-1.18527758e-06
-42.0,0.0,0.0,-4.83551829e-08,-9.94020452e-07
-40.0,0.0,0.0,4.24357782e-08,-9.09211969e-07
-38.0,0.0,0.0,-3.74708271e-08,-1.17985476e-06
-36.0,0.0,0.0,1.70666702e-07,-9.07991258e-07
-34.0,0.0,0.0,-3.73826777e-08,-9.61659081e-07
-32.0,0.0,0.0,1.11762733e-07,-1.07243158e-06
-30.0,0.0,0.0,-3.96181312e-08,-1.24404988e-06
-28.0,0.0,0.0,4.29873457e-08,-1.57248231e-06
-26.0,0.0,0.0,9.37296006e-08,-1.11189770e-06
-24.0,0.0,0.0,-4.56952881e-08,-1.50581617e-06
-22.0,0.0,0.0,1.97838149e-07,-1.58684600e-06
-20.0,0.0,0.0,-5.33168919e-08,-1.40053675e-06
-18.0,0.0,0.0,5.48838213e-08,-1.35535318e-06
-16.0,0.0,0.0,1.07319682e-07,-1.54805329e-06
-14.0,0.0,0.0,2.61893137e-08,-1.42985592e-06
-12.0,0.0,0.0,-7.49182586e-08,-1.38394477e-06
-10.0,0.0,0.0,2.47416863e-08,-1.12387868e-06
-8.0,0.0,0.0,3.88750747e-09,-1.20681200e-06
-6.0,0.0,0.0,4.29655259e-08,-1.34190264e-06
-4.0,0.0,0.0,2.45666414e-08,-1.49063428e-06
-2.0,0.0,0.0,8.89847357e-08,-1.44513946e-06
0.0,0.0,0.0,-1.97745604e-09,-1.55326193e-06
2.0,0.0,0.0,-4.47773105e-08,-1.40274805e-06
4.0,0.0,0.0,1.56748892e-07,-1.36792745e-06
6.0,0.0,0.0,-6.86599231e-08,-1.31095246e-06
8.0,0.0,0.0,9.23199820e-08,-1.38319425e-06
10.0,0.0,0.0,-1.00686373e-07,-1.31000691e-06
12.0,0.0,0.0,1.32571267e-07,-1.22695645e-06
14.0,0.0,0.0,-3.10158390e-08,-1.31439790e-06
16.0,0.0,0.0,-1.43399556e-08,-1.13768115e-06
18.0,0.0,0.0,2.25623321e-08,-1.24664084e-06
20.0,0.0,0.0,4.87293716e-08,-1.31783140e-06
22.0,0.0,0.0,-9.41089075e-08,-1.20711535e-06
24.0,0.0,0.0,3.83424878e-09,-1.32842201e-06
26.0,0.0,0.0,-6.64279453e-08,-1.20012675e-06
28.0,0.0,0.0,-3.90190098e-08,-1.19683613e-06
30.0,0.0,0.0,1.45515719e-08,-1.24833960e-06
32.0,0.0,0.0,-8.41091475e-08,-1.27977445e-06
34.0,0.0,0.0,-1.28056396e-07,-1.22360846e-06
36.0,0.0,0.0,-3.22280985e-08,-1.56561340e-06
38.0,0.0,0.0,3.95192352e-08,-1.34030462e-06
40.0,0.0,0.0,-1.21961458e-07,-1.34706010e-06
42.0,0.0,0.0,-7.71283308e-08,-1.53467619e-06
44.0,0.0,0.0,-1.10202881e-08,-1.54559551e-06
46.0,0.0,0.0,-3.97901868e-08,-1.06506724e-06
48.0,0.0,0.0,6.60350191e-08,-1.24057797e-06
50.0,0.0,0.0,-1.68406773e-07,-1.21740124e-06
52.0,0.0,0.0,-1.51389503e-08,-1.14283590e-06
54.0,0.0,0.0,-3.47313760e-08,-9.68815975e-07
56.0,0.0,0.0,1.03894941e-08,-1.21638097e-06
58.0,0.0,0.0,-1.31104831e-07,-8.95812588e-07
60.0,0.0,0.0,2.08231047e-08,-1.13279812e-06
62.0,0.0,0.0,-4.52314052e-08,-1.06312488e-06
64.0,0.0,0.0,-6.58008082e-09,-1.18167293e-06
66.0,0.0,0.0,9.34622844e-09,-1.16739196e-06
68.0,0.0,0.0,-9.68201992e-08,-1.29838420e-06
70.0,0.0,0.0,-3.29477650e-08,-1.28677511e-06
72.0,0.0,0.0,-7.25827813e-08,-1.24251160e-06
74.0,0.0,0.0,-2.72303314e-08,-9.69095129e-07
76.0,0.0,0.0,1.26707934e-07,-1.14789556e-06
78.0,0.0,0.0,-1.70622035e-07,-1.13960951e-06
80.0,0.0,0.0,-3.81775435e-08,-1.03232765e-06
82.0,0.0,0.0,-4.66315429e-08,-1.03910391e-06
84.0,0.0,0.0,5.82728844e-09,-1.17314418e-06
