Experiment
% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,0.0,0.0,(0.005431871128827082+0.0066003939581654155j)
-172.0,0.0,0.0,(0.0002000491389836534+0.00029845033789129943j)
-164.0,0.0,0.0,(0.00020741407019851373+0.00030856230464656803j)
-156.0,0.0,0.0,(0.0002013028887029847+0.00030491779547840665j)
-148.0,0.0,0.0,(0.00020565085289275136+0.00030505389703119234j)
-140.0,0.0,0.0,(0.00020464620520239035+0.0002989031063211118j)
-132.0,0.0,0.0,(0.000213104964906066+0.00030784618395521724j)
-124.0,0.0,0.0,(0.00021920277706857723+0.00030955455945894675j)
-116.0,0.0,0.0,(0.00020547175084435055+0.00029777850223116915j)
-108.0,0.0,0.0,(0.000205338654131418+0.00030691292447058597j)
-100.0,0.0,0.0,(0.00021120060219281472+0.0003072550198941278j)
-92.0,0.0,0.0,(0.0002118441016422524+0.00030230835953025544j)
-84.0,0.0,0.0,(0.00020621808684492934+0.0002997001298906751j)
-76.0,0.0,0.0,(0.00020315043304009687+0.0003013423705414902j)
-68.0,0.0,0.0,(0.0002072135182346453+0.0003046926931194749j)
-60.0,0.0,0.0,(0.00021059166874486785+0.0002945109263407607j)
-52.0,0.0,0.0,(0.00020624306122395917+0.0003027589992817976j)
-44.0,0.0,0.0,(0.000202808687448157+0.00029961936359796407j)
-36.0,0.0,0.0,(0.00020454855475470168+0.000313051068799681j)
-28.0,0.0,0.0,(0.00020844423967762834+0.00030094406803270256j)
-20.0,0.0,0.0,(0.0002065950001155582+0.0003049803538067223j)
-12.0,0.0,0.0,(0.00020714963089547814+0.00030833879840675983j)
-4.0,0.0,0.0,(0.0002135097908638152+0.0003092622935302764j)
4.0,0.0,0.0,(0.0002026907319875152+0.00030447144909429404j)
12.0,0.0,0.0,(0.00021373584062657283+0.00030159405309042206j)
20.0,0.0,0.0,(0.00020214221484326147+0.0003035346924328297j)
28.0,0.0,0.0,(0.00020330858454798982+0.00030104675708484384j)
36.0,0.0,0.0,(0.0002057720921863655+0.00031053342699586075j)
44.0,0.0,0.0,(0.00020734281481035025+0.00030967856209127443j)
52.0,0.0,0.0,(0.0002111232249729664+0.00031124878275686114j)
60.0,0.0,0.0,(0.0002102239812202692+0.0002994272765740524j)
68.0,0.0,0.0,(0.00020891123254376817+0.00030480186985677976j)
76.0,0.0,0.0,(0.00020427730243324058+0.00030649396310728237j)
84.0,0.0,0.0,(0.00020410813317732354+0.0003048920011449246j)
92.0,0.0,0.0,(0.0002041528036575059+0.0003012666848872608j)
100.0,0.0,0.0,(0.00021176690906657351+0.0003080765546061099j)
108.0,0.0,0.0,(0.00020251311540256134+0.00031014897080521275j)
116.0,0.0,0.0,(0.00020421314924329518+0.0003011028621226656j)
124.0,0.0,0.0,(0.00020362552407582728+0.00030456331106360596j)
132.0,0.0,0.0,(0.00020696964301112911+0.0003044829227482575j)
140.0,0.0,0.0,(0.00020768683883171644+0.00030203919388547266j)
148.0,0.0,0.0,(0.00020992398758269527+0.000300182238702246j)
156.0,0.0,0.0,(0.00020993260782775302+0.0003116341706499722j)
164.0,0.0,0.0,(0.00020642287736624882+0.000304517219026222j)
172.0,0.0,0.0,(0.00021141704951222026+0.0003108932715397008j)
180.0,0.0,0.0,(0.00021278102281929652+0.00030490735932930816j)
-180.0,0.0,0.0,(0.0002108297908790473+0.00027097874770921654j)
-172.0,0.0,0.0,(0.00021355521275764563+0.0003138012703891091j)
-164.0,0.0,0.0,(0.00021003278318317968+0.0003094707970038887j)
