Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-2.04351284e-08,-1.05139295e-07
-172.2,0.0,0.0,8.67909418e-09,-2.44035131e-07
-164.3,0.0,0.0,6.27787755e-08,-1.86445378e-07
-156.5,0.0,0.0,9.70677090e-08,-2.09455364e-07
-148.7,0.0,0.0,9.72545418e-08,-8.90732151e-08
-140.9,0.0,0.0,8.77643264e-08,4.57649658e-08
-133.0,0.0,0.0,5.92187262e-08,-2.93302525e-08
-125.2,0.0,0.0,8.00672689e-08,-1.60028843e-07
-117.4,0.0,0.0,4.32422252e-08,1.35887460e-08
-109.6,0.0,0.0,8.01872681e-08,1.00618833e-07
-101.7,0.0,0.0,8.85163237e-08,-9.53596497e-08
-93.9,0.0,0.0,8.96683056e-08,-2.86235367e-08
-86.1,0.0,0.0,6.52125771e-08,2.45615770e-07
-78.3,0.0,0.0,3.04502397e-08,2.55988588e-07
-70.4,0.0,0.0,1.04820148e-09,2.34284242e-07
-62.6,0.0,0.0,-4.25483722e-08,1.81087956e-08
-54.8,0.0,0.0,-4.99679151e-08,-1.43186896e-07
-47.0,0.0,0.0,-3.59736478e-08,-1.94337072e-07
-39.1,0.0,0.0,-6.13826878e-08,-2.93801955e-07
-31.3,0.0,0.0,-1.53647554e-07,-2.03460955e-07
-23.5,0.0,0.0,-1.65838139e-07,-3.51317116e-07
-15.7,0.0,0.0,-1.50218213e-07,-1.50524530e-07
-7.8,0.0,0.0,-1.46335715e-07,-1.41317584e-07
0.0,0.0,0.0,-1.71480216e-07,-4.18251266e-08
7.8,0.0,0.0,-1.92850401e-07,9.81367554e-08
15.7,0.0,0.0,-2.13869819e-07,2.20091483e-07
23.5,0.0,0.0,-2.36945332e-07,1.49948724e-07
31.3,0.0,0.0,-2.43464961e-07,4.84445151e-08
39.1,0.0,0.0,-2.00221239e-07,-5.20315364e-08
47.0,0.0,0.0,-2.30787279e-07,-7.70256821e-08
54.8,0.0,0.0,-3.12670272e-07,-4.00142090e-08
62.6,0.0,0.0,-2.36201143e-07,1.34782107e-07
70.4,0.0,0.0,-3.23506933e-07,4.15594611e-07
78.3,0.0,0.0,-2.62847302e-07,6.81429666e-07
86.1,0.0,0.0,-3.17557360e-07,8.55372147e-07
93.9,0.0,0.0,-2.21784680e-07,9.27155176e-07
101.7,0.0,0.0,-2.81387560e-07,9.83688604e-07
109.6,0.0,0.0,-3.17653392e-07,9.51567103e-07
117.4,0.0,0.0,-2.44669963e-07,1.04110146e-06
125.2,0.0,0.0,-3.46674372e-07,1.01315556e-06
133.0,0.0,0.0,-3.21526376e-07,1.03928337e-06
140.9,0.0,0.0,-2.95950696e-07,1.07434658e-06
148.7,0.0,0.0,-3.16736468e-07,1.12885710e-06
156.5,0.0,0.0,-3.50745473e-07,9.92016051e-07
164.3,0.0,0.0,-3.30670315e-07,1.03148355e-06
172.2,0.0,0.0,-3.40341749e-07,1.11529220e-06
-180.0,0.0,0.0,-2.26694868e-08,1.79727965e-07
-172.2,0.0,0.0,-3.85160291e-08,5.33282270e-07
-164.3,0.0,0.0,-2.31883366e-09,2.76222744e-07
-156.5,0.0,0.0,-8.57385360e-08,9.82157850e-08
-148.7,0.0,0.0,-3.86855865e-08,9.84119577e-08
-140.9,0.0,0.0,-1.61593259e-08,-5.18887655e-09
-133.0,0.0,0.0,-3.79979888e-08,1.06408048e-09
-125.2,0.0,0.0,-1.89191190e-10,-1.01636938e-07
-117.4,0.0,0.0,-3.25248712e-09,7.96913984e-08
-109.6,0.0,0.0,6.27725587e-08,2.06705666e-07
-101.7,0.0,0.0,-1.47363801e-08,6.64312415e-08
-93.9,0.0,0.0,1.66325810e-08,2.49242050e-08
-86.1,0.0,0.0,6.23946877e-08,-9.43922896e-08
-78.3,0.0,0.0,5.49769457e-08,1.97276122e-08
-70.4,0.0,0.0,5.82163492e-08,1.91253696e-07
-62.6,0.0,0.0,-4.26123638e-09,6.04882947e-08
-54.8,0.0,0.0,-3.16464226e-08,-7.66884714e-08
-47.0,0.0,0.0,8.13856130e-08,-1.15810341e-07
-39.1,0.0,0.0,9.52188762e-08,-1.78162752e-07
-31.3,0.0,0.0,1.40097056e-07,-1.98585088e-07
-23.5,0.0,0.0,1.21634479e-07,-3.02135518e-07
-15.7,0.0,0.0,1.87080073e-07,-1.86745890e-07
-7.8,0.0,0.0,2.96597775e-07,-1.26629563e-07
0.0,0.0,0.0,2.60794155e-07,-3.14132567e-07
7.8,0.0,0.0,2.52512117e-07,-1.68286751e-07
15.7,0.0,0.0,2.29207149e-07,1.33754163e-07
23.5,0.0,0.0,1.79131780e-07,1.77669271e-07
31.3,0.0,0.0,2.11096320e-07,2.90796418e-07
39.1,0.0,0.0,1.88602641e-07,3.54349826e-07
47.0,0.0,0.0,2.18399039e-07,2.37182468e-07
54.8,0.0,0.0,2.12798852e-07,2.74521861e-07
62.6,0.0,0.0,2.32615684e-07,3.75170342e-07
70.4,0.0,0.0,1.88629730e-07,3.84749218e-07
78.3,0.0,0.0,1.67500210e-07,2.67773722e-07
86.1,0.0,0.0,2.25073084e-07,4.02956018e-07
93.9,0.0,0.0,1.98827128e-07,2.65083461e-07
101.7,0.0,0.0,1.77236532e-07,2.80523231e-07
109.6,0.0,0.0,1.62258765e-07,3.35889995e-07
117.4,0.0,0.0,1.74808738e-07,2.46058749e-07
125.2,0.0,0.0,2.37542437e-07,2.40042956e-07
133.0,0.0,0.0,2.17937693e-07,1.17659694e-07
140.9,0.0,0.0,2.64832116e-07,9.67788567e-08
148.7,0.0,0.0,2.17626544e-07,8.90669206e-08
156.5,0.0,0.0,2.25969913e-07,8.24673769e-08
164.3,0.0,0.0,1.78112747e-07,-8.89012294e-08
172.2,0.0,0.0,1.93048456e-07,-2.53643685e-07
