Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,1.57372881e-01
-172.2,0.0,0.0,2.29503392e-01
-164.3,0.0,0.0,2.45259299e-01
-156.5,0.0,0.0,2.08590315e-01
-148.7,0.0,0.0,1.53338145e-01
-140.9,0.0,0.0,1.05815380e-01
-133.0,0.0,0.0,8.04307058e-02
-125.2,0.0,0.0,6.59757527e-02
-117.4,0.0,0.0,6.40953849e-02
-109.6,0.0,0.0,7.64242804e-02
-101.7,0.0,0.0,1.06904463e-01
-93.9,0.0,0.0,1.14984619e-01
-86.1,0.0,0.0,1.13816430e-01
-78.3,0.0,0.0,1.24559455e-01
-70.4,0.0,0.0,1.18556233e-01
-62.6,0.0,0.0,1.11881891e-01
-54.8,0.0,0.0,1.23729123e-01
-47.0,0.0,0.0,1.23752486e-01
-39.1,0.0,0.0,1.47507921e-01
-31.3,0.0,0.0,1.84015033e-01
-23.5,0.0,0.0,2.32282959e-01
-15.7,0.0,0.0,2.26563736e-01
-7.8,0.0,0.0,2.29547835e-01
0.0,0.0,0.0,2.29929162e-01
7.8,0.0,0.0,2.35805299e-01
15.7,0.0,0.0,2.35942807e-01
23.5,0.0,0.0,2.59694090e-01
31.3,0.0,0.0,2.57696542e-01
39.1,0.0,0.0,2.57474301e-01
47.0,0.0,0.0,2.63803965e-01
54.8,0.0,0.0,2.91570749e-01
62.6,0.0,0.0,3.43785281e-01
70.4,0.0,0.0,4.18037969e-01
78.3,0.0,0.0,5.07639952e-01
86.1,0.0,0.0,6.04886992e-01
93.9,0.0,0.0,7.02913022e-01
101.7,0.0,0.0,8.03813482e-01
109.6,0.0,0.0,8.26546792e-01
117.4,0.0,0.0,8.51136283e-01
125.2,0.0,0.0,8.66358074e-01
133.0,0.0,0.0,8.78471277e-01
140.9,0.0,0.0,8.95944952e-01
148.7,0.0,0.0,9.14370947e-01
156.5,0.0,0.0,9.36081954e-01
164.3,0.0,0.0,9.63648662e-01
172.2,0.0,0.0,1.00000000e+00
