Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,2.37928899e-02
-172.2,0.0,0.0,1.40136277e-01
-164.3,0.0,0.0,4.35966146e-01
-156.5,0.0,0.0,8.06752600e-01
-148.7,0.0,0.0,1.00000000e+00
-140.9,0.0,0.0,9.35014295e-01
-133.0,0.0,0.0,7.37945841e-01
-125.2,0.0,0.0,6.52646196e-01
-117.4,0.0,0.0,6.28588699e-01
-109.6,0.0,0.0,5.71173749e-01
-101.7,0.0,0.0,5.35873377e-01
-93.9,0.0,0.0,4.96168772e-01
-86.1,0.0,0.0,5.02335797e-01
-78.3,0.0,0.0,4.87325134e-01
-70.4,0.0,0.0,4.97904553e-01
-62.6,0.0,0.0,3.66372705e-01
-54.8,0.0,0.0,2.62492251e-01
-47.0,0.0,0.0,1.90473407e-01
-39.1,0.0,0.0,1.52246324e-01
-31.3,0.0,0.0,1.20041277e-01
-23.5,0.0,0.0,1.03609074e-01
-15.7,0.0,0.0,1.01876877e-01
-7.8,0.0,0.0,1.21087216e-01
0.0,0.0,0.0,1.35988209e-01
7.8,0.0,0.0,1.63106082e-01
15.7,0.0,0.0,1.50936030e-01
23.5,0.0,0.0,1.71606155e-01
31.3,0.0,0.0,2.08778635e-01
39.1,0.0,0.0,2.90175372e-01
47.0,0.0,0.0,3.68986939e-01
54.8,0.0,0.0,4.10714782e-01
62.6,0.0,0.0,4.45782726e-01
70.4,0.0,0.0,4.09957313e-01
78.3,0.0,0.0,3.32665840e-01
86.1,0.0,0.0,2.76584749e-01
93.9,0.0,0.0,2.37138908e-01
101.7,0.0,0.0,2.27014215e-01
109.6,0.0,0.0,2.37075219e-01
117.4,0.0,0.0,2.84735679e-01
125.2,0.0,0.0,3.27186125e-01
133.0,0.0,0.0,3.28687393e-01
140.9,0.0,0.0,3.32656170e-01
148.7,0.0,0.0,3.29846544e-01
156.5,0.0,0.0,3.20942528e-01
164.3,0.0,0.0,3.06928157e-01
172.2,0.0,0.0,2.88958507e-01
