Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,2.02683927e-01
-172.2,0.0,0.0,2.63002462e-01
-164.3,0.0,0.0,2.68864842e-01
-156.5,0.0,0.0,2.34267862e-01
-148.7,0.0,0.0,1.88220407e-01
-140.9,0.0,0.0,1.50857462e-01
-133.0,0.0,0.0,1.56501934e-01
-125.2,0.0,0.0,1.75692523e-01
-117.4,0.0,0.0,1.87167394e-01
-109.6,0.0,0.0,2.61155405e-01
-101.7,0.0,0.0,4.36436617e-01
-93.9,0.0,0.0,5.97588977e-01
-86.1,0.0,0.0,7.24904686e-01
-78.3,0.0,0.0,8.12246169e-01
-70.4,0.0,0.0,8.76526752e-01
-62.6,0.0,0.0,9.07008237e-01
-54.8,0.0,0.0,1.00000000e+00
-47.0,0.0,0.0,8.73114072e-01
-39.1,0.0,0.0,6.99531214e-01
-31.3,0.0,0.0,5.80474589e-01
-23.5,0.0,0.0,4.90698355e-01
-15.7,0.0,0.0,4.11875831e-01
-7.8,0.0,0.0,3.46933356e-01
0.0,0.0,0.0,3.23908933e-01
7.8,0.0,0.0,3.48734191e-01
15.7,0.0,0.0,4.24624660e-01
23.5,0.0,0.0,5.53146051e-01
31.3,0.0,0.0,6.32941975e-01
39.1,0.0,0.0,6.18616058e-01
47.0,0.0,0.0,6.18430675e-01
54.8,0.0,0.0,6.08898520e-01
62.6,0.0,0.0,4.80566065e-01
70.4,0.0,0.0,3.30331210e-01
78.3,0.0,0.0,2.35232670e-01
86.1,0.0,0.0,1.45630978e-01
93.9,0.0,0.0,1.04697433e-01
101.7,0.0,0.0,7.27961161e-02
109.6,0.0,0.0,5.87966958e-02
117.4,0.0,0.0,4.86326137e-02
125.2,0.0,0.0,5.19806739e-02
133.0,0.0,0.0,7.33557963e-02
140.9,0.0,0.0,1.07696407e-01
148.7,0.0,0.0,1.67181939e-01
156.5,0.0,0.0,2.64400395e-01
164.3,0.0,0.0,4.10471174e-01
172.2,0.0,0.0,6.02718162e-01
