Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-7.12543244e-08,-6.50202233e-07
-172.2,0.0,0.0,-5.14977609e-07,5.70771824e-07
-164.3,0.0,0.0,8.20178549e-07,1.06268738e-07
-156.5,0.0,0.0,4.52234896e-07,-1.24425970e-06
-148.7,0.0,0.0,-6.91687067e-07,-5.50402841e-07
-140.9,0.0,0.0,5.77243864e-08,2.77030737e-07
-133.0,0.0,0.0,1.08935629e-06,-5.65068391e-07
-125.2,0.0,0.0,8.30290240e-08,-1.40142327e-06
-117.4,0.0,0.0,-5.26903992e-07,-5.59682359e-07
-109.6,0.0,0.0,8.24051271e-07,-4.27024268e-08
-101.7,0.0,0.0,1.22571349e-06,-1.11735788e-06
-93.9,0.0,0.0,-6.57561692e-08,-1.31037601e-06
-86.1,0.0,0.0,-1.23136985e-07,2.05957153e-07
-78.3,0.0,0.0,1.24481486e-06,1.62328598e-08
-70.4,0.0,0.0,9.19013913e-07,-1.24463599e-06
-62.6,0.0,0.0,-2.78677515e-07,-7.21913314e-07
-54.8,0.0,0.0,3.09726582e-07,4.02862691e-07
-47.0,0.0,0.0,1.51027689e-06,-4.35025190e-07
-39.1,0.0,0.0,8.53273988e-07,-1.24718079e-06
-31.3,0.0,0.0,-5.58664109e-08,-3.75969434e-07
-23.5,0.0,0.0,9.44052882e-07,2.28350907e-07
-15.7,0.0,0.0,1.46553634e-06,-9.83330004e-07
-7.8,0.0,0.0,2.01802912e-07,-1.52259820e-06
0.0,0.0,0.0,3.76457286e-08,-1.78562635e-07
7.8,0.0,0.0,1.33007264e-06,-1.27797859e-07
15.7,0.0,0.0,1.38559886e-06,-1.33403260e-06
23.5,0.0,0.0,1.81643768e-07,-8.75336570e-07
31.3,0.0,0.0,4.82318732e-07,4.05120157e-07
39.1,0.0,0.0,1.61711677e-06,7.51733239e-08
47.0,0.0,0.0,8.56425159e-07,-9.77184340e-07
54.8,0.0,0.0,-9.55782534e-08,-1.65166186e-07
62.6,0.0,0.0,8.15897043e-07,7.48434064e-07
70.4,0.0,0.0,1.57925232e-06,-3.53275269e-07
78.3,0.0,0.0,4.84322959e-07,-1.23764186e-06
86.1,0.0,0.0,7.97385429e-08,-1.44018815e-07
93.9,0.0,0.0,1.26845034e-06,2.34298691e-07
101.7,0.0,0.0,1.45354800e-06,-7.96716663e-07
109.6,0.0,0.0,2.24118021e-07,-7.48960919e-07
117.4,0.0,0.0,1.85307908e-07,6.37971522e-07
125.2,0.0,0.0,1.59309357e-06,-8.06348482e-08
133.0,0.0,0.0,9.37491018e-07,-1.40704721e-06
140.9,0.0,0.0,-1.64041578e-07,-6.83014499e-07
148.7,0.0,0.0,5.37362721e-07,3.05005620e-07
156.5,0.0,0.0,1.38055754e-06,-6.04932268e-07
164.3,0.0,0.0,2.53080070e-07,-1.59193370e-06
172.2,0.0,0.0,-5.25763938e-07,-6.95609922e-07
