Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.03563618e-07,-5.12176413e-07
-172.2,0.0,0.0,-4.14710262e-07,1.02288997e-06
-164.3,0.0,0.0,8.48264038e-07,6.05499380e-07
-156.5,0.0,0.0,-8.11116646e-08,-4.38997146e-07
-148.7,0.0,0.0,-8.08008506e-07,6.99673036e-07
-140.9,0.0,0.0,5.08378803e-07,1.20134070e-06
-133.0,0.0,0.0,6.53079082e-07,-3.58519202e-07
-125.2,0.0,0.0,-7.40987423e-07,-7.54645173e-08
-117.4,0.0,0.0,-1.25968965e-07,1.32235688e-06
-109.6,0.0,0.0,8.80978291e-07,4.17063229e-07
-101.7,0.0,0.0,-3.55791832e-07,-3.86683441e-07
-93.9,0.0,0.0,-9.59367740e-07,8.00600409e-07
-86.1,0.0,0.0,3.58238622e-07,9.13732722e-07
-78.3,0.0,0.0,7.48733787e-08,-3.18011293e-07
-70.4,0.0,0.0,-9.81500895e-07,3.78838995e-07
-62.6,0.0,0.0,-9.30109027e-10,1.55098233e-06
-54.8,0.0,0.0,6.48441213e-07,3.24437016e-07
-47.0,0.0,0.0,-8.26741816e-07,-3.42355273e-07
-39.1,0.0,0.0,-1.00865023e-06,9.39980430e-07
-31.3,0.0,0.0,4.80190928e-07,7.48199509e-07
-23.5,0.0,0.0,-1.53009354e-08,-5.02343971e-07
-15.7,0.0,0.0,-1.00466669e-06,4.91457372e-07
-7.8,0.0,0.0,-3.32965698e-08,1.59918392e-06
0.0,0.0,0.0,5.84931343e-07,1.38592367e-07
7.8,0.0,0.0,-7.10865588e-07,-3.46625650e-08
15.7,0.0,0.0,-4.96524595e-07,1.43667845e-06
23.5,0.0,0.0,8.04938029e-07,9.32235662e-07
31.3,0.0,0.0,6.87725835e-08,-1.70051900e-07
39.1,0.0,0.0,-7.92102995e-07,9.43882133e-07
47.0,0.0,0.0,3.16706437e-07,1.26077724e-06
54.8,0.0,0.0,6.11114980e-07,-2.59537253e-07
62.6,0.0,0.0,-8.80467522e-07,-1.99669104e-07
70.4,0.0,0.0,-3.23780341e-07,1.07952345e-06
78.3,0.0,0.0,8.10238762e-07,4.65395281e-07
86.1,0.0,0.0,1.20028769e-07,-4.85719582e-07
93.9,0.0,0.0,-6.30767318e-07,5.90719524e-07
101.7,0.0,0.0,6.92218780e-07,8.39183074e-07
109.6,0.0,0.0,8.42366350e-07,-6.10286059e-07
117.4,0.0,0.0,-4.76450662e-07,-2.49361329e-07
125.2,0.0,0.0,1.35622242e-08,8.94382927e-07
133.0,0.0,0.0,9.62880988e-07,-2.84610520e-07
140.9,0.0,0.0,-3.41442938e-07,-9.93228439e-07
148.7,0.0,0.0,-8.35992621e-07,2.02933851e-07
156.5,0.0,0.0,5.94210799e-07,2.67903509e-07
164.3,0.0,0.0,2.92079015e-07,-1.28222224e-06
172.2,0.0,0.0,-1.06270944e-06,-5.37842935e-07
