Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-3.15374987e-08,6.16136554e-08
-178.0,0.0,0.0,-2.65083069e-08,-4.44856630e-08
-176.0,0.0,0.0,1.50535204e-08,-2.32238967e-08
-174.0,0.0,0.0,5.46319967e-08,6.23893201e-08
-172.0,0.0,0.0,4.56527106e-08,1.14411471e-07
-170.0,0.0,0.0,-4.86474266e-08,1.77811307e-07
-168.0,0.0,0.0,-3.90935928e-08,1.93947945e-07
-166.0,0.0,0.0,1.70722915e-08,2.29340469e-07
-164.0,0.0,0.0,-3.87057619e-08,5.53810220e-07
-162.0,0.0,0.0,-1.06760720e-07,2.87295586e-07
-160.0,0.0,0.0,-6.02563667e-09,4.68246878e-07
-158.0,0.0,0.0,-1.02067334e-07,5.72163476e-07
-156.0,0.0,0.0,-7.93739710e-09,6.49713181e-07
-154.0,0.0,0.0,4.04046078e-08,6.09434091e-07
-152.0,0.0,0.0,-7.45005435e-08,4.72469822e-07
-150.0,0.0,0.0,-1.39018123e-08,6.34173174e-07
-148.0,0.0,0.0,-7.72033867e-08,7.16653764e-07
-146.0,0.0,0.0,-1.14988730e-07,6.61824257e-07
-144.0,0.0,0.0,-6.60003689e-08,7.71777517e-07
-142.0,0.0,0.0,1.24927048e-08,9.17645894e-07
-140.0,0.0,0.0,-1.45415623e-07,8.50218127e-07
-138.0,0.0,0.0,-6.67956507e-08,1.00257074e-06
-136.0,0.0,0.0,1.98413714e-08,1.02135918e-06
-134.0,0.0,0.0,-1.17295333e-07,8.03931035e-07
-132.0,0.0,0.0,1.95223801e-08,7.48760024e-07
-130.0,0.0,0.0,-1.25913976e-07,9.60453620e-07
-128.0,0.0,0.0,-3.38564889e-08,1.06938110e-06
-126.0,0.0,0.0,-1.22047794e-07,9.53541682e-07
-124.0,0.0,0.0,-7.40759084e-08,8.63288579e-07
-122.0,0.0,0.0,-5.36996808e-08,1.13105446e-06
-120.0,0.0,0.0,-1.41672021e-07,8.23643897e-07
-118.0,0.0,0.0,-3.77777178e-08,1.04107387e-06
-116.0,0.0,0.0,-1.71372590e-07,9.04620236e-07
-114.0,0.0,0.0,-5.86139696e-08,8.74521493e-07
-112.0,0.0,0.0,-9.31507474e-10,8.51071166e-07
-110.0,0.0,0.0,-1.70260642e-07,9.14265092e-07
-108.0,0.0,0.0,-1.49125396e-09,7.27675913e-07
-106.0,0.0,0.0,5.52198526e-08,7.58443314e-07
-104.0,0.0,0.0,-5.81270795e-08,8.65668202e-07
-102.0,0.0,0.0,-1.44093509e-08,6.73662883e-07
-100.0,0.0,0.0,1.44587640e-08,6.32264636e-07
-98.0,0.0,0.0,-1.26691512e-07,5.53368396e-07
-96.0,0.0,0.0,7.97307252e-08,4.17742152e-07
-94.0,0.0,0.0,-2.78158399e-08,4.90173068e-07
-92.0,0.0,0.0,-1.38049371e-08,6.24182744e-07
-90.0,0.0,0.0,4.23486454e-09,7.73611665e-07
-88.0,0.0,0.0,7.51562621e-08,4.44929982e-07
-86.0,0.0,0.0,-1.78255871e-08,3.36933543e-07
-84.0,0.0,0.0,7.34153872e-08,3.63850681e-07
-82.0,0.0,0.0,-8.88345978e-08,2.98627190e-07
-80.0,0.0,0.0,5.31091178e-08,3.25809596e-07
-78.0,0.0,0.0,-9.04736153e-08,2.72964297e-07
-76.0,0.0,0.0,7.68679489e-08,5.25778340e-08
-74.0,0.0,0.0,-1.93582916e-08,2.21983685e-07
-72.0,0.0,0.0,1.73381124e-08,-4.06478402e-09
-70.0,0.0,0.0,-8.52115282e-08,6.88167544e-08
-68.0,0.0,0.0,9.85757725e-08,1.40815177e-07
-66.0,0.0,0.0,5.58559093e-09,-1.04886706e-07
-64.0,0.0,0.0,4.75708586e-08,3.44661037e-08
-62.0,0.0,0.0,-3.14605877e-08,-1.60899809e-07
-60.0,0.0,0.0,-4.09830054e-09,-2.11480884e-07
-58.0,0.0,0.0,1.87657327e-08,-8.75866876e-08
-56.0,0.0,0.0,-1.22266058e-07,1.04678192e-07
-54.0,0.0,0.0,-1.53159112e-08,2.10880104e-07
-52.0,0.0,0.0,-3.53814795e-08,3.51661131e-07
-50.0,0.0,0.0,-1.06936578e-07,3.20243242e-07
-48.0,0.0,0.0,3.61911341e-08,4.82968109e-07
-46.0,0.0,0.0,-7.59102285e-08,4.04853869e-07
-44.0,0.0,0.0,-1.22165755e-08,6.70367924e-07
-42.0,0.0,0.0,-6.69469527e-08,7.50973314e-07
-40.0,0.0,0.0,-2.54513033e-08,5.52832307e-07
-38.0,0.0,0.0,-9.39426939e-08,5.32499716e-07
-36.0,0.0,0.0,1.60957137e-08,8.48116915e-07
-34.0,0.0,0.0,-3.82892127e-08,7.06148385e-07
-32.0,0.0,0.0,-2.94131098e-09,7.93790751e-07
-30.0,0.0,0.0,6.34994757e-08,7.47135415e-07
-28.0,0.0,0.0,-1.13483249e-07,7.78353515e-07
-26.0,0.0,0.0,7.95679191e-08,7.51082223e-07
-24.0,0.0,0.0,3.54286173e-08,6.92163223e-07
-22.0,0.0,0.0,-1.03751736e-07,8.23072397e-07
-20.0,0.0,0.0,1.56017321e-07,7.59020578e-07
-18.0,0.0,0.0,1.28700493e-08,7.57117616e-07
-16.0,0.0,0.0,-1.26519205e-07,6.49909738e-07
-14.0,0.0,0.0,6.73587923e-08,8.06365666e-07
-12.0,0.0,0.0,-3.78936400e-08,6.38169309e-07
-10.0,0.0,0.0,1.89495722e-08,6.24686276e-07
-8.0,0.0,0.0,1.35810337e-08,4.60311388e-07
-6.0,0.0,0.0,-1.80890351e-08,5.54098397e-07
-4.0,0.0,0.0,-2.48551501e-08,5.59764692e-07
-2.0,0.0,0.0,-9.98196931e-08,4.90289810e-07
0.0,0.0,0.0,6.51756210e-08,4.64589777e-07
2.0,0.0,0.0,-1.33005975e-07,1.74408784e-07
4.0,0.0,0.0,-8.58344320e-10,1.81404873e-07
6.0,0.0,0.0,-4.09302380e-08,2.63934542e-07
8.0,0.0,0.0,-5.66774881e-08,2.03810207e-07
10.0,0.0,0.0,-3.00879915e-08,1.95359692e-07
12.0,0.0,0.0,4.20863245e-08,2.18161422e-07
14.0,0.0,0.0,-1.71059460e-07,2.11518964e-07
16.0,0.0,0.0,-3.40848536e-08,3.91370116e-07
18.0,0.0,0.0,6.40754957e-08,4.03651361e-07
20.0,0.0,0.0,-2.91276658e-08,2.24306321e-07
22.0,0.0,0.0,-3.20776078e-08,1.91121919e-07
24.0,0.0,0.0,-1.00955847e-07,4.48564915e-07
26.0,0.0,0.0,4.51940731e-08,4.69941730e-07
28.0,0.0,0.0,3.43090248e-09,2.83268996e-07
30.0,0.0,0.0,2.64763430e-08,3.38635146e-07
32.0,0.0,0.0,-7.96456621e-08,2.21696645e-07
34.0,0.0,0.0,-8.39594697e-08,1.47595418e-07
36.0,0.0,0.0,2.52308342e-08,3.78801528e-07
38.0,0.0,0.0,1.49162240e-08,9.02956569e-08
40.0,0.0,0.0,-1.39333566e-08,-1.09197050e-07
42.0,0.0,0.0,-9.10704570e-08,-1.51088437e-07
44.0,0.0,0.0,4.23414947e-08,-8.47109850e-08
46.0,0.0,0.0,-1.16008755e-07,-3.47820365e-07
48.0,0.0,0.0,-1.19764674e-08,-2.49500389e-07
50.0,0.0,0.0,5.72680270e-09,-1.63346105e-07
52.0,0.0,0.0,-3.07081336e-08,-4.82735497e-07
54.0,0.0,0.0,-5.02120618e-08,-3.70213183e-07
56.0,0.0,0.0,-3.98058358e-08,-3.77411542e-07
58.0,0.0,0.0,-5.47014524e-09,-4.66790367e-07
60.0,0.0,0.0,2.98788682e-08,-3.18457666e-07
62.0,0.0,0.0,-3.97594759e-08,-2.77479132e-07
64.0,0.0,0.0,7.00559329e-08,-1.99421295e-07
66.0,0.0,0.0,3.14341779e-08,-4.74507240e-07
68.0,0.0,0.0,-8.99701983e-08,-4.74385301e-07
70.0,0.0,0.0,-2.22981424e-08,-4.10239041e-07
72.0,0.0,0.0,-2.53408326e-08,-3.67868321e-07
74.0,0.0,0.0,-1.06501191e-07,-2.75315300e-07
76.0,0.0,0.0,-6.61050352e-08,-1.02061939e-07
78.0,0.0,0.0,3.72996753e-08,-5.08141544e-07
80.0,0.0,0.0,-1.21989549e-07,-5.16299975e-07
82.0,0.0,0.0,1.02021756e-07,-4.42075595e-07
84.0,0.0,0.0,-1.57935838e-09,-4.33489374e-07
86.0,0.0,0.0,-1.51370623e-07,-6.25217155e-07
88.0,0.0,0.0,-4.39956803e-08,-5.86275317e-07
90.0,0.0,0.0,2.45732006e-08,-5.53733437e-07
92.0,0.0,0.0,-9.07072749e-08,-6.97949788e-07
94.0,0.0,0.0,4.26641982e-08,-8.21172279e-07
96.0,0.0,0.0,-3.43157167e-08,-7.12247211e-07
98.0,0.0,0.0,-1.27719854e-07,-7.04253311e-07
100.0,0.0,0.0,-8.47278416e-08,-6.32356005e-07
102.0,0.0,0.0,-6.60194400e-08,-5.67232684e-07
104.0,0.0,0.0,1.08703531e-07,-6.99239568e-07
106.0,0.0,0.0,-7.65823960e-08,-5.86408824e-07
108.0,0.0,0.0,-6.37008379e-08,-7.30933930e-07
110.0,0.0,0.0,-1.73031606e-07,-5.13722728e-07
112.0,0.0,0.0,7.25294360e-08,-4.91876567e-07
114.0,0.0,0.0,4.37904122e-08,-1.86893766e-07
116.0,0.0,0.0,-1.36814017e-07,-4.58414115e-07
118.0,0.0,0.0,-6.00593970e-08,-5.47937862e-07
120.0,0.0,0.0,6.03822854e-08,-5.96952017e-07
122.0,0.0,0.0,-2.77828212e-08,-3.40876579e-07
124.0,0.0,0.0,-7.80617808e-08,-6.98120616e-07
126.0,0.0,0.0,2.82337213e-08,-6.33066169e-07
128.0,0.0,0.0,2.94882727e-08,-6.99862743e-07
130.0,0.0,0.0,-6.44275981e-08,-8.42954077e-07
132.0,0.0,0.0,1.85239605e-08,-5.23343740e-07
134.0,0.0,0.0,-1.77064338e-08,-5.26495900e-07
136.0,0.0,0.0,-4.10392550e-08,-3.93888802e-07
138.0,0.0,0.0,-3.49896431e-09,-5.17124379e-07
140.0,0.0,0.0,1.20864043e-07,-4.58606805e-07
142.0,0.0,0.0,-4.27962588e-08,-2.62269274e-07
144.0,0.0,0.0,8.08781000e-08,-5.50792515e-07
146.0,0.0,0.0,-3.74893155e-08,-1.68346862e-07
148.0,0.0,0.0,4.97929737e-08,-4.24920713e-07
150.0,0.0,0.0,3.90367053e-09,-2.55234499e-07
152.0,0.0,0.0,-4.35712966e-08,-2.66228543e-07
154.0,0.0,0.0,2.11587977e-08,-1.66365754e-07
156.0,0.0,0.0,-1.16241021e-07,-1.49670270e-07
158.0,0.0,0.0,-2.64002784e-08,-1.95412299e-07
160.0,0.0,0.0,-7.69518552e-09,-1.33076609e-07
162.0,0.0,0.0,1.13475710e-08,-2.58461035e-07
164.0,0.0,0.0,-9.00866942e-08,-2.79640877e-07
166.0,0.0,0.0,9.26360818e-08,-1.97699407e-07
168.0,0.0,0.0,-6.17044799e-08,-1.44730069e-07
170.0,0.0,0.0,5.16401063e-08,-2.57914341e-08
172.0,0.0,0.0,-1.23961664e-07,-5.04550595e-07
174.0,0.0,0.0,-2.97951587e-08,-3.54095897e-07
176.0,0.0,0.0,-2.90720586e-08,-5.69548604e-07
178.0,0.0,0.0,-3.67209838e-08,-6.46423698e-07
