Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.17004036e-07,-3.98385707e-08
-178.0,0.0,0.0,7.68261651e-08,-1.75812829e-07
-176.0,0.0,0.0,-4.57628047e-08,-1.68873797e-07
-174.0,0.0,0.0,1.11257880e-07,-1.48292016e-07
-172.0,0.0,0.0,-7.20148461e-08,-9.80232748e-08
-170.0,0.0,0.0,1.22359154e-07,3.70850852e-08
-168.0,0.0,0.0,-1.38551962e-07,6.73547822e-08
-166.0,0.0,0.0,4.40815068e-08,1.07216435e-07
-164.0,0.0,0.0,-4.22578422e-09,-1.68805345e-08
-162.0,0.0,0.0,1.63305127e-08,2.29802840e-07
-160.0,0.0,0.0,2.24247941e-08,2.75228082e-07
-158.0,0.0,0.0,-7.31944116e-08,3.98910523e-07
-156.0,0.0,0.0,3.61098636e-08,2.46103868e-07
-154.0,0.0,0.0,-4.10600841e-08,4.74073719e-07
-152.0,0.0,0.0,-9.21873062e-08,2.47707230e-07
-150.0,0.0,0.0,-8.74530641e-09,2.59638346e-07
-148.0,0.0,0.0,3.38210284e-09,4.21155772e-07
-146.0,0.0,0.0,-6.58691809e-09,3.51951761e-07
-144.0,0.0,0.0,-9.44403536e-08,4.40114576e-07
-142.0,0.0,0.0,-9.25756393e-08,3.85668270e-07
-140.0,0.0,0.0,-7.85506127e-08,4.50310468e-07
-138.0,0.0,0.0,-4.63795196e-08,3.33805192e-07
-136.0,0.0,0.0,1.54410795e-08,3.60379740e-07
-134.0,0.0,0.0,3.99903554e-09,4.51294012e-07
-132.0,0.0,0.0,6.87823750e-08,3.64764368e-07
-130.0,0.0,0.0,-4.03904922e-08,6.54377625e-07
-128.0,0.0,0.0,-2.24743789e-08,4.49293553e-07
-126.0,0.0,0.0,-3.10906842e-09,4.11532969e-07
-124.0,0.0,0.0,4.91156750e-08,3.98165260e-07
-122.0,0.0,0.0,2.77954356e-08,5.10304511e-07
-120.0,0.0,0.0,5.39971646e-08,2.91038684e-07
-118.0,0.0,0.0,6.69663069e-08,4.29083383e-07
-116.0,0.0,0.0,7.02678910e-09,4.51405013e-07
-114.0,0.0,0.0,-4.63562711e-08,4.85587426e-07
-112.0,0.0,0.0,8.30304291e-08,2.69822482e-07
-110.0,0.0,0.0,3.88055766e-08,3.41303556e-07
-108.0,0.0,0.0,6.76449507e-08,4.29319835e-07
-106.0,0.0,0.0,1.99809043e-08,4.52428945e-07
-104.0,0.0,0.0,-5.39616635e-10,3.23058197e-07
-102.0,0.0,0.0,9.96744293e-08,1.23958250e-07
-100.0,0.0,0.0,-4.95341364e-08,5.80508477e-08
-98.0,0.0,0.0,1.56274628e-07,2.29410712e-07
-96.0,0.0,0.0,-1.55781245e-08,1.10103656e-07
-94.0,0.0,0.0,3.96949535e-08,3.39340301e-07
-92.0,0.0,0.0,1.66442292e-08,9.51067766e-08
-90.0,0.0,0.0,1.24585293e-07,2.87983356e-07
-88.0,0.0,0.0,2.51613340e-08,2.10786878e-07
