Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,5.37584812e-09,-3.38567405e-08
-178.0,0.0,0.0,-6.38722102e-08,4.06074240e-08
-176.0,0.0,0.0,4.87403351e-08,1.04834207e-07
-174.0,0.0,0.0,6.00138620e-09,-1.78848637e-07
-172.0,0.0,0.0,-1.50640943e-07,-2.95044099e-08
-170.0,0.0,0.0,4.70047058e-08,1.14843762e-07
-168.0,0.0,0.0,-6.21099683e-08,2.32910896e-07
-166.0,0.0,0.0,-7.96992426e-08,-6.97296819e-08
-164.0,0.0,0.0,8.50079509e-08,2.32529507e-08
-162.0,0.0,0.0,-2.79132709e-09,5.45582994e-08
-160.0,0.0,0.0,-2.18386297e-07,1.66258109e-07
-158.0,0.0,0.0,-5.01001368e-08,-1.63651915e-07
-156.0,0.0,0.0,-1.13371120e-07,-1.10948486e-07
-154.0,0.0,0.0,1.15149559e-07,1.45365019e-07
-152.0,0.0,0.0,-1.37064307e-07,2.69263955e-08
-150.0,0.0,0.0,-2.26884976e-08,-7.63067802e-08
-148.0,0.0,0.0,-2.64806883e-08,-1.59474238e-07
-146.0,0.0,0.0,-6.25701350e-08,-1.13672441e-07
-144.0,0.0,0.0,-3.12925769e-08,1.31938250e-08
-142.0,0.0,0.0,5.02979993e-09,-3.46661504e-07
-140.0,0.0,0.0,-7.75135415e-08,-1.68131259e-07
-138.0,0.0,0.0,-7.55760248e-08,2.98712727e-09
-136.0,0.0,0.0,-2.82716422e-08,-1.01391767e-07
-134.0,0.0,0.0,1.00862290e-08,-1.28580960e-07
-132.0,0.0,0.0,-1.57060075e-07,-4.65609935e-07
-130.0,0.0,0.0,-1.07145237e-08,-1.60865077e-07
-128.0,0.0,0.0,-5.12539266e-08,-3.11355936e-07
-126.0,0.0,0.0,-1.03444900e-07,-5.54650836e-08
-124.0,0.0,0.0,-1.68261158e-07,-2.53070184e-07
-122.0,0.0,0.0,-9.39087167e-08,-1.74290633e-07
-120.0,0.0,0.0,-9.59491290e-08,-1.17880292e-07
-118.0,0.0,0.0,-5.02387439e-08,-8.26079634e-08
-116.0,0.0,0.0,-1.43971553e-07,-2.91978502e-08
-114.0,0.0,0.0,-2.00715579e-07,-9.89389149e-08
-112.0,0.0,0.0,-1.56994566e-07,7.74681293e-08
-110.0,0.0,0.0,-1.19506154e-07,8.28578989e-08
-108.0,0.0,0.0,-9.50642227e-08,2.52549985e-07
-106.0,0.0,0.0,1.40195101e-08,1.58522063e-07
-104.0,0.0,0.0,-1.69179429e-07,1.84733992e-07
-102.0,0.0,0.0,-1.91067429e-07,4.09496157e-07
-100.0,0.0,0.0,6.42870287e-08,2.62267810e-07
-98.0,0.0,0.0,-1.64708025e-07,3.61802171e-07
-96.0,0.0,0.0,-3.93710114e-08,1.84782424e-07
-94.0,0.0,0.0,-1.87688929e-07,2.86717076e-07
-92.0,0.0,0.0,5.83783917e-08,1.55831968e-07
-90.0,0.0,0.0,-3.30834111e-07,4.30745737e-07
-88.0,0.0,0.0,-3.13866796e-08,3.06233093e-07
-86.0,0.0,0.0,-1.96151763e-07,2.48566491e-07
-84.0,0.0,0.0,-1.00624206e-08,5.36659804e-07
-82.0,0.0,0.0,-1.82935736e-07,4.42810092e-07
-80.0,0.0,0.0,-1.09816323e-07,2.58861671e-07
-78.0,0.0,0.0,-1.33753814e-07,5.44965930e-07
-76.0,0.0,0.0,-5.81500720e-08,3.65321871e-07
-74.0,0.0,0.0,-1.99514675e-07,3.41853905e-07
-72.0,0.0,0.0,1.45810902e-08,5.85930584e-07
-70.0,0.0,0.0,-2.32503935e-07,5.82107785e-07
-68.0,0.0,0.0,1.86376540e-08,6.37969807e-07
-66.0,0.0,0.0,-1.81114943e-07,7.18668817e-07
-64.0,0.0,0.0,-1.67436456e-07,6.04611081e-07
-62.0,0.0,0.0,-3.08904709e-08,9.94981218e-07
-60.0,0.0,0.0,-1.41422125e-07,7.00318734e-07
-58.0,0.0,0.0,-1.78083224e-07,8.58735090e-07
-56.0,0.0,0.0,-1.82058343e-07,5.24737730e-07
-54.0,0.0,0.0,-9.38876059e-08,7.56106156e-07
-52.0,0.0,0.0,-1.36922784e-07,6.86891284e-07
-50.0,0.0,0.0,-1.74773551e-08,6.68800430e-07
-48.0,0.0,0.0,-2.33813807e-07,7.14025592e-07
-46.0,0.0,0.0,4.52219739e-08,5.38215317e-07
-44.0,0.0,0.0,-1.25810402e-07,6.25698240e-07
-42.0,0.0,0.0,-1.87978929e-07,4.25131423e-07
-40.0,0.0,0.0,-6.73188713e-08,3.08598036e-07
-38.0,0.0,0.0,-8.63725788e-08,3.42734179e-07
-36.0,0.0,0.0,-2.26170731e-07,2.84192196e-07
-34.0,0.0,0.0,-6.31992120e-08,1.55095284e-07
-32.0,0.0,0.0,-1.77004341e-08,1.40812218e-07
-30.0,0.0,0.0,-2.10269927e-07,1.24504850e-07
-28.0,0.0,0.0,-1.42451351e-07,2.28884014e-08
-26.0,0.0,0.0,-2.00201433e-07,-3.87109864e-08
-24.0,0.0,0.0,-2.01962291e-07,-1.24415040e-07
-22.0,0.0,0.0,-1.47588845e-07,-1.00169326e-07
-20.0,0.0,0.0,-1.14359171e-07,-2.14679070e-07
-18.0,0.0,0.0,-9.66772856e-08,-9.98158509e-08
-16.0,0.0,0.0,-8.63813825e-08,-1.81661418e-07
-14.0,0.0,0.0,-1.25388205e-07,-1.39080185e-09
-12.0,0.0,0.0,-1.69256073e-07,-5.32625034e-08
-10.0,0.0,0.0,-9.54178255e-08,1.59516677e-07
-8.0,0.0,0.0,-1.05243127e-07,-6.65107529e-08
-6.0,0.0,0.0,-1.84162326e-07,1.22981419e-07
-4.0,0.0,0.0,-5.56389006e-09,1.21547912e-07
-2.0,0.0,0.0,-2.08926552e-07,2.59845673e-08
0.0,0.0,0.0,-1.08031465e-07,3.34825314e-07
2.0,0.0,0.0,-3.89750305e-08,7.10862410e-08
4.0,0.0,0.0,-1.81030917e-07,8.91123164e-08
6.0,0.0,0.0,4.42727763e-08,-6.89489702e-08
8.0,0.0,0.0,-1.23896248e-07,-2.43235773e-07
10.0,0.0,0.0,1.16940381e-07,-1.45346549e-07
12.0,0.0,0.0,-1.32605400e-07,-2.37586358e-07
14.0,0.0,0.0,-1.31085407e-07,-2.90990496e-07
16.0,0.0,0.0,-8.44796304e-08,-2.43492876e-07
18.0,0.0,0.0,4.50120676e-08,-2.66923057e-07
20.0,0.0,0.0,-1.65372307e-07,-3.19146717e-07
22.0,0.0,0.0,4.50914383e-08,9.26241185e-08
24.0,0.0,0.0,-5.43858809e-09,9.02639918e-08
26.0,0.0,0.0,-7.58447860e-08,-5.71749988e-08
28.0,0.0,0.0,-1.04088221e-07,-4.71346466e-08
30.0,0.0,0.0,-1.86887957e-09,-5.49035803e-08
32.0,0.0,0.0,-1.65793936e-08,4.21505386e-08
34.0,0.0,0.0,-1.27632362e-08,-2.95439672e-09
36.0,0.0,0.0,-1.67091306e-08,1.26117446e-07
38.0,0.0,0.0,-3.60962402e-08,-7.23641737e-08
40.0,0.0,0.0,-3.30887228e-08,3.83564080e-07
42.0,0.0,0.0,-2.83652289e-08,1.48086092e-07
44.0,0.0,0.0,-5.17831281e-09,1.60040701e-07
46.0,0.0,0.0,-6.82386737e-08,-3.30191703e-09
48.0,0.0,0.0,-1.11092696e-07,-1.29272777e-08
50.0,0.0,0.0,1.01300819e-07,4.77465524e-08
52.0,0.0,0.0,-8.02800789e-08,-8.92184346e-08
54.0,0.0,0.0,1.20436951e-09,-9.60251754e-08
56.0,0.0,0.0,-7.92919046e-08,-4.99973371e-08
58.0,0.0,0.0,-5.91519069e-08,6.34167109e-08
60.0,0.0,0.0,-2.08939072e-08,-7.34892971e-08
62.0,0.0,0.0,-1.55867960e-08,2.23228418e-08
64.0,0.0,0.0,5.09145985e-08,2.18468114e-07
66.0,0.0,0.0,-3.57613447e-08,1.27684985e-07
68.0,0.0,0.0,-2.68947791e-08,1.48788339e-07
70.0,0.0,0.0,-4.63070648e-08,2.24244658e-07
72.0,0.0,0.0,8.39114206e-08,-1.31592739e-07
74.0,0.0,0.0,-9.37404380e-08,-5.45604834e-08
76.0,0.0,0.0,-3.84255873e-08,-2.15637396e-07
