Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-4.64911246e-08,-1.41788082e-09
-178.0,0.0,0.0,9.50660732e-08,1.16690828e-07
-176.0,0.0,0.0,-1.96715161e-08,-2.51628033e-07
-174.0,0.0,0.0,8.61523740e-08,-1.97766701e-08
-172.0,0.0,0.0,-2.30615259e-08,-1.24662733e-07
-170.0,0.0,0.0,-2.88416365e-08,2.51763858e-08
-168.0,0.0,0.0,-3.43250757e-08,-9.38071459e-08
-166.0,0.0,0.0,-2.36983956e-08,1.54185057e-07
-164.0,0.0,0.0,-2.64499692e-08,1.02740024e-07
-162.0,0.0,0.0,4.44905500e-08,2.38127716e-07
-160.0,0.0,0.0,-4.72559136e-08,1.97539392e-07
-158.0,0.0,0.0,1.60382368e-08,2.63367574e-07
-156.0,0.0,0.0,-8.14888293e-10,2.68847926e-07
-154.0,0.0,0.0,-2.24760510e-08,1.53124833e-07
-152.0,0.0,0.0,6.00590067e-08,8.34699279e-08
-150.0,0.0,0.0,1.71465061e-09,1.65363393e-07
-148.0,0.0,0.0,1.33245436e-07,3.49379813e-07
-146.0,0.0,0.0,-6.79669985e-08,3.93446305e-07
-144.0,0.0,0.0,5.70418393e-08,3.27583672e-07
-142.0,0.0,0.0,-7.37545238e-09,2.89854188e-07
-140.0,0.0,0.0,-7.93830586e-09,1.69830716e-07
-138.0,0.0,0.0,1.03946701e-07,1.39749423e-07
-136.0,0.0,0.0,2.54789538e-08,-2.56126032e-08
-134.0,0.0,0.0,8.68412089e-08,-1.29722026e-07
-132.0,0.0,0.0,-9.03273459e-08,-2.44287747e-07
-130.0,0.0,0.0,8.68828293e-08,-3.93507127e-07
-128.0,0.0,0.0,6.82839066e-08,-3.29865568e-07
-126.0,0.0,0.0,1.92236387e-08,-2.06153699e-07
-124.0,0.0,0.0,5.15538063e-09,-3.21099298e-07
-122.0,0.0,0.0,-1.50920033e-08,-3.99878109e-07
-120.0,0.0,0.0,-6.38998777e-08,-5.28424299e-07
-118.0,0.0,0.0,1.72892285e-07,-2.84647207e-07
-116.0,0.0,0.0,-8.09705273e-09,-4.81702969e-07
-114.0,0.0,0.0,1.92184150e-08,-3.06978473e-07
-112.0,0.0,0.0,6.94182972e-08,-4.66621996e-07
-110.0,0.0,0.0,1.40889229e-07,-5.03701308e-07
-108.0,0.0,0.0,6.56645405e-08,-4.69865510e-07
-106.0,0.0,0.0,3.88883529e-08,-5.71015931e-07
-104.0,0.0,0.0,7.47368639e-08,-4.66042409e-07
-102.0,0.0,0.0,1.16762089e-07,-6.86902042e-07
-100.0,0.0,0.0,1.91456588e-08,-6.63792932e-07
-98.0,0.0,0.0,6.05994882e-08,-6.41305722e-07
-96.0,0.0,0.0,6.60359349e-08,-7.11850847e-07
-94.0,0.0,0.0,6.46397627e-08,-1.00452015e-06
-92.0,0.0,0.0,-2.23259865e-09,-7.33908920e-07
-90.0,0.0,0.0,1.14096021e-07,-7.70801255e-07
-88.0,0.0,0.0,-3.36873769e-08,-8.26762524e-07
-86.0,0.0,0.0,1.13884087e-07,-7.46713677e-07
-84.0,0.0,0.0,-7.63175310e-08,-5.86807050e-07
-82.0,0.0,0.0,8.39341294e-08,-7.30893099e-07
-80.0,0.0,0.0,5.43727807e-08,-5.60741545e-07
-78.0,0.0,0.0,1.38892735e-07,-6.48713911e-07
-76.0,0.0,0.0,-5.53988865e-08,-6.72288824e-07
-74.0,0.0,0.0,2.77657913e-08,-7.13688214e-07
-72.0,0.0,0.0,1.51267392e-07,-9.84845450e-07
-70.0,0.0,0.0,3.04699532e-08,-8.42290586e-07
-68.0,0.0,0.0,7.51848274e-08,-1.16531269e-06
-66.0,0.0,0.0,5.82112536e-08,-9.61797624e-07
-64.0,0.0,0.0,7.97836466e-08,-1.02411971e-06
-62.0,0.0,0.0,4.85938559e-08,-1.03879171e-06
-60.0,0.0,0.0,9.28091138e-08,-9.38808458e-07
-58.0,0.0,0.0,1.10590446e-07,-9.19535402e-07
-56.0,0.0,0.0,-1.24408555e-08,-9.95500376e-07
-54.0,0.0,0.0,2.70157782e-07,-1.06402404e-06
-52.0,0.0,0.0,9.09883993e-08,-1.31135478e-06
-50.0,0.0,0.0,8.69250044e-08,-1.18819902e-06
-48.0,0.0,0.0,2.83094208e-07,-1.05663654e-06
-46.0,0.0,0.0,1.10656693e-08,-1.11153759e-06
-44.0,0.0,0.0,2.32280931e-07,-1.22416287e-06
-42.0,0.0,0.0,1.15108728e-07,-1.30847485e-06
-40.0,0.0,0.0,1.79273998e-07,-1.27476894e-06
-38.0,0.0,0.0,1.36190764e-07,-1.58152720e-06
-36.0,0.0,0.0,8.48332982e-08,-1.44486720e-06
-34.0,0.0,0.0,2.39696261e-07,-1.63064986e-06
-32.0,0.0,0.0,7.66683526e-08,-1.53650836e-06
-30.0,0.0,0.0,1.73523166e-07,-1.58792778e-06
-28.0,0.0,0.0,3.00783804e-08,-1.45012635e-06
-26.0,0.0,0.0,2.26941759e-07,-1.80670418e-06
-24.0,0.0,0.0,8.39484105e-08,-1.72722969e-06
-22.0,0.0,0.0,8.10359273e-08,-1.60966625e-06
-20.0,0.0,0.0,2.86430515e-07,-1.52928870e-06
-18.0,0.0,0.0,2.06989831e-07,-1.63780797e-06
-16.0,0.0,0.0,1.43593489e-07,-1.49822350e-06
-14.0,0.0,0.0,2.24101471e-07,-1.46208415e-06
-12.0,0.0,0.0,1.04971400e-07,-1.53900138e-06
-10.0,0.0,0.0,1.93730561e-07,-1.35891733e-06
-8.0,0.0,0.0,2.15995128e-07,-1.37424364e-06
-6.0,0.0,0.0,4.74593066e-08,-1.45130671e-06
-4.0,0.0,0.0,1.62187735e-07,-1.28884014e-06
-2.0,0.0,0.0,1.67484437e-07,-1.18364816e-06
0.0,0.0,0.0,1.28416295e-07,-1.35203293e-06
2.0,0.0,0.0,1.31413517e-07,-1.33868779e-06
4.0,0.0,0.0,1.19181430e-07,-1.06187734e-06
6.0,0.0,0.0,1.25628148e-07,-1.11281725e-06
8.0,0.0,0.0,1.94666908e-07,-1.04247533e-06
10.0,0.0,0.0,1.66577197e-07,-9.87024059e-07
12.0,0.0,0.0,2.00778649e-07,-1.19622843e-06
14.0,0.0,0.0,9.04489274e-08,-8.98072781e-07
16.0,0.0,0.0,1.99156655e-07,-1.07390897e-06
18.0,0.0,0.0,1.97445680e-07,-7.05976713e-07
20.0,0.0,0.0,1.16616961e-07,-8.51581615e-07
22.0,0.0,0.0,1.20531981e-07,-7.17288903e-07
24.0,0.0,0.0,6.40275502e-08,-7.87408856e-07
26.0,0.0,0.0,2.69425083e-07,-6.17221116e-07
28.0,0.0,0.0,1.34646548e-07,-4.53614534e-07
30.0,0.0,0.0,1.80570852e-07,-5.74098411e-07
32.0,0.0,0.0,1.51005262e-07,-7.84319102e-07
34.0,0.0,0.0,2.19078099e-07,-4.94827207e-07
36.0,0.0,0.0,1.05387314e-07,-5.14048087e-07
38.0,0.0,0.0,2.24654492e-07,-3.90812961e-07
40.0,0.0,0.0,1.05971680e-07,-2.67872291e-07
42.0,0.0,0.0,2.65739346e-07,-3.11704387e-07
44.0,0.0,0.0,1.28639182e-07,-3.57674962e-07
46.0,0.0,0.0,1.60617042e-07,-2.45408655e-07
48.0,0.0,0.0,1.17042972e-07,-1.20773400e-07
50.0,0.0,0.0,2.67683098e-07,-3.68066288e-07
52.0,0.0,0.0,1.36753194e-07,-4.85926284e-07
54.0,0.0,0.0,1.57062645e-07,-4.04601494e-07
56.0,0.0,0.0,3.02487075e-07,-3.85975573e-07
58.0,0.0,0.0,4.81652575e-08,-6.54519938e-07
60.0,0.0,0.0,2.82769603e-07,-4.34543086e-07
62.0,0.0,0.0,2.39289549e-07,-3.68413214e-07
64.0,0.0,0.0,2.86625542e-07,-3.59024511e-07
66.0,0.0,0.0,1.76313157e-07,-5.33146266e-07
68.0,0.0,0.0,3.83022858e-07,-2.87850190e-07
70.0,0.0,0.0,2.65420592e-07,-1.31264878e-07
