Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-2.32656553e-09,-9.09423755e-08
-178.0,0.0,0.0,-1.75666315e-08,-4.12099559e-08
-176.0,0.0,0.0,-4.86151857e-08,-1.12453234e-07
-174.0,0.0,0.0,-9.65649742e-10,-1.43415666e-07
-172.0,0.0,0.0,-2.97741579e-08,-3.66789549e-07
-170.0,0.0,0.0,2.10625694e-08,-4.36650719e-07
-168.0,0.0,0.0,-1.18625027e-07,-2.90561086e-07
-166.0,0.0,0.0,-4.70200603e-10,-2.63955395e-07
-164.0,0.0,0.0,1.34858802e-08,-3.77930098e-07
-162.0,0.0,0.0,-2.15143654e-08,-1.08507853e-07
-160.0,0.0,0.0,2.37469663e-09,-2.06034522e-07
-158.0,0.0,0.0,-6.57809029e-08,-1.97503667e-07
-156.0,0.0,0.0,4.27932491e-08,-3.09431506e-07
-154.0,0.0,0.0,-9.09840429e-08,-1.34484223e-07
-152.0,0.0,0.0,2.74033872e-08,-2.67875379e-07
-150.0,0.0,0.0,-4.95981194e-09,-5.05093354e-07
-148.0,0.0,0.0,-6.69317773e-09,-1.04666758e-07
-146.0,0.0,0.0,-4.30191447e-08,-1.59466410e-07
-144.0,0.0,0.0,-1.63329300e-08,-1.39833492e-07
-142.0,0.0,0.0,-6.37979017e-08,-1.73782557e-07
-140.0,0.0,0.0,2.68299030e-08,-4.68764297e-07
-138.0,0.0,0.0,-2.36940846e-08,-3.10119965e-07
-136.0,0.0,0.0,-7.22531175e-08,-4.98577681e-07
-134.0,0.0,0.0,-1.07440290e-08,-4.15865549e-07
-132.0,0.0,0.0,-1.88340618e-08,-3.11638934e-07
-130.0,0.0,0.0,-1.05615615e-07,-3.63802496e-07
-128.0,0.0,0.0,1.01131236e-07,-4.43733096e-07
-126.0,0.0,0.0,-2.24796122e-07,-2.37846077e-07
-124.0,0.0,0.0,-8.17371047e-08,-2.17241185e-07
-122.0,0.0,0.0,-8.87291111e-09,-1.32080735e-07
-120.0,0.0,0.0,-2.48731376e-08,-2.36489602e-07
-118.0,0.0,0.0,-9.09555184e-08,-2.58753841e-07
-116.0,0.0,0.0,-1.21395319e-07,7.72761244e-08
-114.0,0.0,0.0,-2.24224678e-08,-1.54127249e-07
-112.0,0.0,0.0,-1.18212064e-07,-3.16729244e-07
-110.0,0.0,0.0,-4.94229148e-08,-1.75751052e-07
-108.0,0.0,0.0,-5.41304807e-08,-3.30507519e-07
-106.0,0.0,0.0,-8.99428681e-08,-1.85881626e-07
-104.0,0.0,0.0,-8.24210418e-08,-2.32914560e-07
-102.0,0.0,0.0,2.33423782e-09,-6.63929320e-08
-100.0,0.0,0.0,-1.17909570e-07,-1.78838690e-07
-98.0,0.0,0.0,-6.65887225e-08,1.25331469e-07
-96.0,0.0,0.0,-6.71791837e-08,2.43235168e-08
-94.0,0.0,0.0,-1.63423295e-08,2.71631224e-07
-92.0,0.0,0.0,-1.32733218e-07,1.39417418e-07
-90.0,0.0,0.0,4.34730815e-08,3.39369621e-07
-88.0,0.0,0.0,-6.78287131e-08,2.33039863e-07
-86.0,0.0,0.0,-4.23600841e-08,2.28427688e-07
-84.0,0.0,0.0,-1.57424374e-07,4.21569976e-07
-82.0,0.0,0.0,3.25230776e-09,4.05013406e-07
-80.0,0.0,0.0,-1.06510781e-07,4.53048590e-07
-78.0,0.0,0.0,6.69201195e-09,4.61387716e-07
-76.0,0.0,0.0,-1.11102333e-07,4.33888487e-07
-74.0,0.0,0.0,-2.15662850e-07,4.62485956e-07
-72.0,0.0,0.0,2.90836142e-08,2.22068444e-07
-70.0,0.0,0.0,-1.01611292e-07,3.15547888e-07
-68.0,0.0,0.0,-2.17521953e-08,3.54721720e-07
-66.0,0.0,0.0,-1.09851159e-07,2.90022318e-07
-64.0,0.0,0.0,-1.36239431e-07,2.66543026e-07
-62.0,0.0,0.0,-1.11350624e-07,4.16544664e-07
-60.0,0.0,0.0,-4.12208555e-08,2.60364088e-07
-58.0,0.0,0.0,-1.45297414e-07,2.86045224e-07
-56.0,0.0,0.0,-1.01886570e-07,1.50484731e-07
-54.0,0.0,0.0,-2.89411823e-08,2.17946800e-07
-52.0,0.0,0.0,-1.73412311e-07,2.46250806e-07
-50.0,0.0,0.0,-7.93041808e-08,2.66197441e-08
-48.0,0.0,0.0,-1.88759897e-07,2.47279761e-07
-46.0,0.0,0.0,-1.44757575e-07,1.64942278e-07
-44.0,0.0,0.0,-2.11709738e-07,2.09949197e-07
-42.0,0.0,0.0,-1.02236853e-07,3.66909626e-07
-40.0,0.0,0.0,-1.59922444e-07,2.27068085e-07
-38.0,0.0,0.0,-2.16819482e-07,4.68989728e-08
-36.0,0.0,0.0,-1.17729423e-07,9.95342180e-08
-34.0,0.0,0.0,-1.70102782e-07,1.16543981e-07
-32.0,0.0,0.0,-1.89004986e-07,4.88167741e-08
-30.0,0.0,0.0,-1.02265053e-07,-3.14649407e-10
-28.0,0.0,0.0,-2.25998124e-07,-1.17926814e-07
-26.0,0.0,0.0,-1.31210147e-07,-8.16047757e-09
-24.0,0.0,0.0,-3.29959967e-07,-1.08643722e-07
-22.0,0.0,0.0,-6.23658026e-08,-1.94250353e-07
-20.0,0.0,0.0,-2.49587463e-07,-8.37415614e-08
-18.0,0.0,0.0,-9.45777294e-08,-6.17397903e-10
-16.0,0.0,0.0,-2.50749816e-07,8.35255522e-08
-14.0,0.0,0.0,-2.56676772e-07,-1.69949167e-07
-12.0,0.0,0.0,-1.62604050e-07,-1.07925662e-07
-10.0,0.0,0.0,-2.06875837e-07,-5.85947838e-08
-8.0,0.0,0.0,-1.29294194e-07,-1.78348750e-07
-6.0,0.0,0.0,-2.43310293e-07,-7.05361656e-09
-4.0,0.0,0.0,-1.86344932e-07,-8.13358609e-08
-2.0,0.0,0.0,-1.68565388e-07,-1.35990909e-07
0.0,0.0,0.0,-1.01822209e-07,-1.38662969e-07
2.0,0.0,0.0,-3.21848824e-07,-3.28821218e-07
4.0,0.0,0.0,-2.26882868e-07,-3.76287353e-08
6.0,0.0,0.0,-1.51092364e-07,-3.90029235e-07
8.0,0.0,0.0,-1.23812315e-07,-4.06370682e-07
10.0,0.0,0.0,-2.36388706e-07,-3.91796910e-07
12.0,0.0,0.0,-1.63450845e-07,-6.33268874e-07
14.0,0.0,0.0,-2.11049020e-07,-7.19357356e-07
