Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,3.73322514e-01
-178.0,0.0,0.0,2.75166096e-01
-176.0,0.0,0.0,2.28677521e-01
-174.0,0.0,0.0,2.09391779e-01
-172.0,0.0,0.0,2.06439669e-01
-170.0,0.0,0.0,2.14147912e-01
-168.0,0.0,0.0,2.22115629e-01
-166.0,0.0,0.0,2.37352770e-01
-164.0,0.0,0.0,2.53410572e-01
-162.0,0.0,0.0,2.83971893e-01
-160.0,0.0,0.0,2.68489072e-01
-158.0,0.0,0.0,2.68742556e-01
-156.0,0.0,0.0,2.76887812e-01
-154.0,0.0,0.0,2.67826172e-01
-152.0,0.0,0.0,2.61654880e-01
-150.0,0.0,0.0,2.37643397e-01
-148.0,0.0,0.0,2.29652251e-01
-146.0,0.0,0.0,2.37568346e-01
-144.0,0.0,0.0,2.48012700e-01
-142.0,0.0,0.0,2.70403704e-01
-140.0,0.0,0.0,2.69807184e-01
-138.0,0.0,0.0,2.76649255e-01
-136.0,0.0,0.0,2.80771953e-01
-134.0,0.0,0.0,2.77723875e-01
-132.0,0.0,0.0,2.86557352e-01
-130.0,0.0,0.0,2.56175214e-01
-128.0,0.0,0.0,2.52460718e-01
-126.0,0.0,0.0,2.39328565e-01
-124.0,0.0,0.0,2.24085212e-01
-122.0,0.0,0.0,2.11667224e-01
-120.0,0.0,0.0,2.15464791e-01
-118.0,0.0,0.0,2.35294565e-01
-116.0,0.0,0.0,2.73351494e-01
-114.0,0.0,0.0,3.78314538e-01
-112.0,0.0,0.0,3.34334260e-01
-110.0,0.0,0.0,2.64884358e-01
-108.0,0.0,0.0,2.11439630e-01
-106.0,0.0,0.0,1.74475776e-01
-104.0,0.0,0.0,1.51190022e-01
-102.0,0.0,0.0,1.57856834e-01
-100.0,0.0,0.0,1.96054554e-01
-98.0,0.0,0.0,2.84417569e-01
-96.0,0.0,0.0,3.27324728e-01
-94.0,0.0,0.0,3.46382504e-01
-92.0,0.0,0.0,2.46826196e-01
-90.0,0.0,0.0,2.10379032e-01
-88.0,0.0,0.0,1.89701046e-01
-86.0,0.0,0.0,1.94525017e-01
-84.0,0.0,0.0,2.13929498e-01
-82.0,0.0,0.0,2.58102616e-01
-80.0,0.0,0.0,3.23638107e-01
-78.0,0.0,0.0,3.41429846e-01
-76.0,0.0,0.0,2.76303137e-01
-74.0,0.0,0.0,2.33965642e-01
-72.0,0.0,0.0,2.38716453e-01
-70.0,0.0,0.0,2.56149261e-01
-68.0,0.0,0.0,2.99278925e-01
-66.0,0.0,0.0,3.15623215e-01
-64.0,0.0,0.0,3.09394136e-01
-62.0,0.0,0.0,2.79912474e-01
-60.0,0.0,0.0,2.66462554e-01
-58.0,0.0,0.0,2.35977837e-01
-56.0,0.0,0.0,2.40911170e-01
-54.0,0.0,0.0,2.72273419e-01
-52.0,0.0,0.0,2.89884254e-01
-50.0,0.0,0.0,3.23955873e-01
-48.0,0.0,0.0,3.65250797e-01
-46.0,0.0,0.0,3.25397378e-01
-44.0,0.0,0.0,2.79182630e-01
-42.0,0.0,0.0,2.36727643e-01
-40.0,0.0,0.0,2.20767877e-01
-38.0,0.0,0.0,2.18234261e-01
-36.0,0.0,0.0,2.18350292e-01
-34.0,0.0,0.0,2.39389760e-01
-32.0,0.0,0.0,2.51332040e-01
-30.0,0.0,0.0,2.89068443e-01
-28.0,0.0,0.0,3.31391645e-01
-26.0,0.0,0.0,2.87753729e-01
-24.0,0.0,0.0,2.37606537e-01
-22.0,0.0,0.0,2.03095866e-01
-20.0,0.0,0.0,1.86472013e-01
-18.0,0.0,0.0,1.95927004e-01
-16.0,0.0,0.0,2.13875717e-01
-14.0,0.0,0.0,2.58782416e-01
-12.0,0.0,0.0,3.26589664e-01
-10.0,0.0,0.0,3.55866328e-01
-8.0,0.0,0.0,3.43214852e-01
-6.0,0.0,0.0,2.55401446e-01
-4.0,0.0,0.0,2.16779162e-01
-2.0,0.0,0.0,1.99843697e-01
0.0,0.0,0.0,2.10027201e-01
2.0,0.0,0.0,2.56602565e-01
4.0,0.0,0.0,3.37245263e-01
6.0,0.0,0.0,3.33733465e-01
8.0,0.0,0.0,2.97107966e-01
10.0,0.0,0.0,2.46946892e-01
