Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.61521335e-08,3.86372426e-08
-178.0,0.0,0.0,-5.39536431e-08,1.78200923e-07
-176.0,0.0,0.0,5.42306635e-08,3.05906624e-07
-174.0,0.0,0.0,-1.25514994e-07,6.70070801e-07
-172.0,0.0,0.0,-9.50568627e-08,3.63996420e-07
-170.0,0.0,0.0,-2.81275915e-09,3.08676501e-07
-168.0,0.0,0.0,-1.42209750e-07,6.59661547e-07
-166.0,0.0,0.0,-1.02497402e-07,5.58095511e-07
-164.0,0.0,0.0,-9.48411920e-08,4.34035417e-07
-162.0,0.0,0.0,-1.37452809e-07,5.72383508e-07
-160.0,0.0,0.0,-1.61822022e-07,7.56972436e-07
-158.0,0.0,0.0,-1.32034255e-07,6.60667685e-07
-156.0,0.0,0.0,-2.19155801e-09,5.43289290e-07
-154.0,0.0,0.0,-1.51260569e-07,6.63979632e-07
-152.0,0.0,0.0,-6.70598456e-08,6.48699473e-07
-150.0,0.0,0.0,-1.40483012e-07,3.50932347e-07
-148.0,0.0,0.0,-1.11525895e-07,4.73633927e-07
-146.0,0.0,0.0,-1.59017780e-07,5.20264651e-07
-144.0,0.0,0.0,-1.17640040e-07,3.06426793e-07
-142.0,0.0,0.0,-1.48688394e-07,5.48961218e-07
-140.0,0.0,0.0,-1.25580852e-07,2.06466273e-07
-138.0,0.0,0.0,-9.27282296e-08,2.60051041e-07
-136.0,0.0,0.0,-1.41424709e-09,6.47135489e-08
-134.0,0.0,0.0,-2.27537268e-07,7.85873989e-08
-132.0,0.0,0.0,-2.85930258e-08,1.58144302e-07
-130.0,0.0,0.0,-7.58785994e-08,6.86438444e-08
-128.0,0.0,0.0,-1.23788768e-07,3.73039396e-08
-126.0,0.0,0.0,-7.82130017e-08,7.90628631e-09
-124.0,0.0,0.0,-3.70424781e-08,-2.47644070e-08
-122.0,0.0,0.0,-4.55105975e-08,-2.67600643e-07
-120.0,0.0,0.0,-1.19440919e-07,3.49879536e-08
-118.0,0.0,0.0,-3.23534324e-09,-1.48242249e-08
-116.0,0.0,0.0,-3.92872793e-08,4.98059992e-08
-114.0,0.0,0.0,-1.03006279e-07,-1.76706738e-07
-112.0,0.0,0.0,-7.63916641e-08,-2.67000753e-07
-110.0,0.0,0.0,-2.08353938e-07,-3.90483499e-07
-108.0,0.0,0.0,8.19577192e-08,-2.35239434e-07
