Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-5.18529556e-08,1.66999351e-08
-178.0,0.0,0.0,2.31694526e-08,3.11616963e-08
-176.0,0.0,0.0,1.12144392e-09,1.61485025e-07
-174.0,0.0,0.0,-7.19317762e-08,-7.22766738e-09
-172.0,0.0,0.0,-7.64786800e-08,-3.57684551e-08
-170.0,0.0,0.0,4.59581333e-08,-2.05579846e-08
-168.0,0.0,0.0,2.84334458e-08,8.33507004e-08
-166.0,0.0,0.0,-1.35470368e-09,-6.75867613e-08
-164.0,0.0,0.0,1.10976210e-08,-1.31410126e-07
-162.0,0.0,0.0,-1.58464015e-09,-5.08416836e-08
-160.0,0.0,0.0,2.45976096e-08,9.08014335e-08
-158.0,0.0,0.0,9.13411351e-09,1.55936547e-08
-156.0,0.0,0.0,-3.55901917e-08,-1.42123273e-07
-154.0,0.0,0.0,4.26370067e-08,-2.79623614e-07
-152.0,0.0,0.0,4.81595038e-08,-3.43513464e-07
-150.0,0.0,0.0,1.88324812e-08,-1.71907325e-07
-148.0,0.0,0.0,-4.43978838e-09,-1.20663566e-07
-146.0,0.0,0.0,1.06183638e-08,-2.64621982e-07
-144.0,0.0,0.0,-1.95293544e-08,-4.40225226e-07
-142.0,0.0,0.0,6.54586319e-08,-4.18072939e-07
-140.0,0.0,0.0,9.28537041e-08,-5.28067757e-07
-138.0,0.0,0.0,3.17545963e-10,-4.96763899e-07
-136.0,0.0,0.0,2.72198000e-08,-4.23331942e-07
-134.0,0.0,0.0,5.94094574e-08,-3.87413370e-07
-132.0,0.0,0.0,-7.67262652e-08,-4.46439294e-07
-130.0,0.0,0.0,5.33676949e-08,-3.80123070e-07
-128.0,0.0,0.0,-3.45902124e-08,-4.84578853e-07
-126.0,0.0,0.0,4.78170475e-08,-2.82216869e-07
-124.0,0.0,0.0,-8.99102861e-09,-1.81729734e-07
-122.0,0.0,0.0,-5.15801408e-08,-4.15267795e-07
-120.0,0.0,0.0,-6.20614868e-09,-2.70143547e-07
