Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,3.42924307e-08,4.20272660e-09
-178.0,0.0,0.0,-8.47346818e-09,-4.68190122e-08
-176.0,0.0,0.0,2.55766671e-08,-1.10694384e-07
-174.0,0.0,0.0,-2.90351863e-09,5.19238598e-08
-172.0,0.0,0.0,-1.78504505e-08,-1.76238490e-07
-170.0,0.0,0.0,-3.08041332e-08,-1.20148614e-07
-168.0,0.0,0.0,-8.31750853e-08,-6.59717480e-08
-166.0,0.0,0.0,8.99965292e-09,-6.73937433e-09
-164.0,0.0,0.0,1.00847047e-07,-1.21885993e-07
-162.0,0.0,0.0,-1.36823103e-07,-3.07385600e-07
-160.0,0.0,0.0,9.25728410e-08,-9.11267870e-09
-158.0,0.0,0.0,-3.93178302e-08,-7.24740535e-08
-156.0,0.0,0.0,-6.27133586e-08,-1.77062788e-07
-154.0,0.0,0.0,1.29796281e-08,-1.62610431e-07
-152.0,0.0,0.0,1.82542856e-08,-2.19195403e-07
-150.0,0.0,0.0,7.32676920e-08,-1.33384757e-07
-148.0,0.0,0.0,-7.12708566e-09,-2.39807352e-07
-146.0,0.0,0.0,1.76771027e-08,-3.84927108e-07
-144.0,0.0,0.0,7.65499267e-08,-1.29833997e-07
-142.0,0.0,0.0,3.11103059e-08,-2.29292968e-07
-140.0,0.0,0.0,-6.45093175e-08,-1.54109709e-07
-138.0,0.0,0.0,4.67393011e-08,-2.26715248e-07
-136.0,0.0,0.0,6.17424329e-08,1.80285915e-07
-134.0,0.0,0.0,4.40710711e-09,2.38496401e-07
-132.0,0.0,0.0,-1.21388224e-07,2.71510358e-07
-130.0,0.0,0.0,1.99827611e-07,2.92534614e-07
-128.0,0.0,0.0,-1.03751784e-08,2.65080262e-07
-126.0,0.0,0.0,4.12509826e-08,1.32124132e-07
-124.0,0.0,0.0,6.48112592e-08,3.60934013e-07
-122.0,0.0,0.0,-2.97628062e-08,3.94373660e-07
-120.0,0.0,0.0,3.41216001e-08,1.86518991e-07
-118.0,0.0,0.0,7.91525821e-08,1.95387661e-07
