Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.39196834e-07,-1.09023881e-07
-178.0,0.0,0.0,-1.10057311e-07,-1.05886022e-07
-176.0,0.0,0.0,-4.36919678e-08,-7.96190916e-08
-174.0,0.0,0.0,1.23237918e-07,2.36857298e-08
-172.0,0.0,0.0,-1.69721322e-07,1.18233896e-08
-170.0,0.0,0.0,7.69440565e-08,-1.20428664e-07
-168.0,0.0,0.0,-3.89802810e-08,1.00788665e-07
-166.0,0.0,0.0,5.04078083e-08,6.80419585e-08
-164.0,0.0,0.0,-3.73980903e-09,-2.50684912e-08
-162.0,0.0,0.0,-1.40382272e-08,1.31996732e-07
-160.0,0.0,0.0,5.73900087e-08,1.99887857e-07
-158.0,0.0,0.0,-7.71568809e-08,1.68954719e-07
-156.0,0.0,0.0,-9.92291449e-08,2.29490724e-07
-154.0,0.0,0.0,5.63913453e-08,2.35452084e-07
-152.0,0.0,0.0,-4.60208764e-08,2.54403224e-09
-150.0,0.0,0.0,-6.47620910e-08,1.11420898e-07
-148.0,0.0,0.0,6.23778643e-08,-2.01749896e-09
-146.0,0.0,0.0,-6.42951521e-08,1.81765752e-07
-144.0,0.0,0.0,-2.65662931e-08,1.43229872e-07
-142.0,0.0,0.0,-9.66918304e-08,-2.94003776e-08
-140.0,0.0,0.0,-9.83502628e-08,5.42385034e-08
-138.0,0.0,0.0,-1.96490915e-09,8.48548797e-08
-136.0,0.0,0.0,-1.87155492e-08,-1.26750139e-07
-134.0,0.0,0.0,-1.21683497e-07,-3.42819703e-08
-132.0,0.0,0.0,-2.67741539e-08,-6.03000267e-08
-130.0,0.0,0.0,9.19870059e-08,-2.04486974e-07
-128.0,0.0,0.0,-1.92355080e-07,-1.02524143e-07
-126.0,0.0,0.0,2.37079855e-08,-2.90532783e-07
-124.0,0.0,0.0,-1.13643977e-07,-2.66049383e-07
-122.0,0.0,0.0,1.45479929e-07,-2.75707019e-07
-120.0,0.0,0.0,-2.45246800e-07,9.63064760e-08
-118.0,0.0,0.0,1.82724292e-08,2.74114107e-07
-116.0,0.0,0.0,-5.80692601e-08,3.79511143e-07
-114.0,0.0,0.0,-1.38774116e-07,1.89263096e-07
-112.0,0.0,0.0,-1.58793301e-08,1.73387111e-07
-110.0,0.0,0.0,2.37091209e-09,-4.46498935e-08
-108.0,0.0,0.0,-1.06110022e-07,7.24395715e-10
-106.0,0.0,0.0,-1.31016046e-07,-2.53288185e-08
-104.0,0.0,0.0,-1.17223417e-08,-1.17976603e-07
-102.0,0.0,0.0,-1.35394490e-08,-2.07111448e-07
-100.0,0.0,0.0,-6.13608682e-09,-1.27038452e-07
-98.0,0.0,0.0,-1.61130008e-07,-4.41122439e-07
-96.0,0.0,0.0,-1.84291817e-07,-3.29383414e-07
-94.0,0.0,0.0,-2.38654112e-08,-4.17926568e-07
-92.0,0.0,0.0,-6.79340767e-08,-4.05587871e-07
-90.0,0.0,0.0,-1.58373201e-07,-2.37556817e-07
-88.0,0.0,0.0,-1.27304151e-07,-3.70033999e-07
-86.0,0.0,0.0,-1.28571019e-07,-2.33912345e-07
-84.0,0.0,0.0,-6.80709533e-08,-5.21252894e-07
-82.0,0.0,0.0,-1.08036007e-07,-4.38393060e-07
-80.0,0.0,0.0,-1.23558222e-07,-3.64676201e-07
-78.0,0.0,0.0,-1.21223676e-07,-4.47053344e-07
-76.0,0.0,0.0,-2.04281253e-07,-4.36664903e-07
-74.0,0.0,0.0,-1.27478580e-07,-4.03017101e-07
-72.0,0.0,0.0,-1.09753581e-07,-2.50302006e-07
-70.0,0.0,0.0,-8.59990717e-08,-4.77633273e-07
-68.0,0.0,0.0,-2.37619084e-07,-3.48688977e-07
-66.0,0.0,0.0,1.65373189e-09,-7.05213147e-07
-64.0,0.0,0.0,-1.47590659e-07,-4.77283249e-07
-62.0,0.0,0.0,-1.51954517e-07,-4.82717393e-07
-60.0,0.0,0.0,-1.36165440e-07,-6.77405872e-07
-58.0,0.0,0.0,-1.17360658e-07,-4.44273333e-07
-56.0,0.0,0.0,-1.36648204e-07,-7.15252703e-07
-54.0,0.0,0.0,-5.88072501e-08,-6.20463059e-07
-52.0,0.0,0.0,-1.11499306e-07,-7.27338316e-07
-50.0,0.0,0.0,-3.79892598e-08,-6.73991085e-07
-48.0,0.0,0.0,-1.94174940e-07,-6.58666058e-07
-46.0,0.0,0.0,-4.27500008e-09,-8.49075166e-07
-44.0,0.0,0.0,-1.35257656e-07,-7.39808884e-07
